biçim                katı  çatallı   en iyi modül(ler)
n+a (çekirdek)         8/8       8/8   [19]
n·a                    3/8       4/8   [32, 35, 36, 38, 40]
n²+a                   2/8       4/8   [14, 18, 20]
n+a²                   2/8       4/8   [18, 30, 34]
n²+a²                  4/8       6/8   [30]
n²−a² (t·u)            4/8       6/8   [30]
ebob(n,a)              2/8       5/8   [16]
n·a+n+a                2/8       4/8   [15, 30]
(n+a)²                 6/8       6/8   [19]
a² − n                 3/8       4/8   [18, 19, 30]
n² − a                 3/8       4/8   [18]
n·a − (n+a)            2/8       4/8   [15, 30]
|n−a|                  8/8       8/8   [19]
